1:Huawei Y5:Android M OS 6.0:5" IPS LCD 720 x 1280 pixels (~294 ppi pixel density):150 gm:2 GB:16 GB:8 MP AF:5 MP:3000mAh Li-ion:June,2017:Japan:10490:
31:Huawei P8:Android L OS 5.1:5.2" IPS LCD 1080 x 2160 pixels:160 gm:1 GB:16 GB:8 MP AF:5 MP:2500mAh Li-po:July,2017:Korea:13550:
32:Huawei Ascend P6 :Android M OS 2.0:5.2" IPS LCD 720x1280 pixels (~267 ppi pixel density):167 gm:6 GB:32 GB:13 MP AF:5 MP AF:3100mAh Li-Ion:June,2017:Japan:26750:
33:Huawei Ascend Y520 7.0 :Android M OS 6.0:7" IPS LCD 600 x 1024 pixels (~170 ppi density):250 gm:1 GB:8 GB:8 MP:2 MP:2100mAh Li-Ion:April,2017:China:13500:
34:Huawei Media Pad M1:Android 4.4.4 lolipop:5.2" IPS LCD 1080 x 2160 pixels:157 gm:3 GB:16 GB:20 MP AF:8 MP AF:3000mAh Li-Ion non-removeable:September,2016:Japan:27000:
35:Huawei Honor Y2:Android 2.4.6 Marshmalo:5.5" IPS LCD 720x1280 pixels (~267 ppi pixel density):176 gm:4 GB:32 GB:16 MP AF:8 MP AF:3200mAh Li-ion:Octobar,2016:Korea:13500:
36:Huawei G6:Android M OT 7.1:5.5" IPS LCD 720 x 1280 pixel:150 gm:1 GB:12 GB:8 MP AF:2 MP AF:3400mAh Li-Ion:November,2015:Japan:16000:
37:Huawei ascend Mate:Android L OS 5.1:4.5" IPS LCD :190 gm:512 MB:.5 GB:5 MP AF:5 MP:2200mAh Li-po:May,2017:Chaina:5600:
38:Huawei Honor G7 :Android M OS 4.0:5.2" IPS LCD 1080 x 2160 pixels:165 gm:1 GB:6 GB:3 MP AF:.3 MP AF:3000mAh Li-po non-removeable:January,2014:Korea:12990:
39:Huawei Y6 Plus:Android N OS 7.0:5.5" IPS-NEO LCD 1440 x 2560 pixels (~540 ppi pixel density):155 gm:2 GB:4 GB: 12 MPAF:8 MP AF:3750mAh Li-Ion:May,2016:Korea:14500:
40:Huawei Y1:java:No:160 gm:1GB:2 GB:5 Megapixel:2 Megapixel:7.5 Hour(2G), 8 Hour :April,2015:Chaina:7990:


